"STATISTIC","Statistic Label","TLIST(M1)","Month","C03113V05042","Driving Test Centre","UNIT","VALUE"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","124","Galway (Westside), Co. Galway","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","125","Gorey, Co. Wexford","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","126","Kilkenny (Govt Buildings), Co. Kilkenny","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","127","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","Weeks","19"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","128","Killarney, Co. Kerry","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","129","Killester, Co. Dublin","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","130","Kilrush, Co. Clare","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","131","Letterkenny, Co. Donegal","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","132","Limerick - Castlemungret, Co. Limerick","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","133","Limerick - Woodview, Co. Limerick","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","134","Limerick (Roxboro), Co. Limerick","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","135","Longford, Co. Longford","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","136","Loughrea, Co. Galway","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","137","Loughrea (Lough Rea Hotel & Spa), Co. Galway","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","138","Mallow, Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","139","Mallow (Cork Racecourse Mallow), Co. Cork","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","140","Monaghan, Co. Monaghan","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","141","Mulhuddart, Co. Dublin","Weeks","24"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","142","Mulhuddart (Carlton Hotel), Co. Dublin","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","143","Mulhuddart Maple House, Co. Dublin","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","144","Mullingar, Co. Westmeath","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","145","Naas, Co. Kildare","Weeks","22"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","146","Navan, Co. Meath","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","147","Nenagh, Co. Tipperary","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","148","Newcastle West, Co. Limerick","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","149","Newcastle West (Longcourt House Hotel), Co. Limerick","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","150","Portlaoise, Co. Laois","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","151","Raheny, Co. Dublin","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","152","Roscommon, Co. Roscommon","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","153","Shannon, Co. Clare","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","154","Skibbereen, Co. Cork","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","155","Sligo, Co. Sligo","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","156","Tallaght, Co. Dublin","Weeks","22"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","157","Thurles, Co. Tipperary","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","158","Tipperary, Co. Tipperary","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","159","Tralee, Co. Kerry","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","160","Tralee (HGV's), Co. Kerry","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","161","Tuam, Co. Galway","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","162","Tullamore, Co. Offaly","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","163","Waterford, Co. Waterford","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","164","Wexford, Co. Wexford","Weeks","23"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","165","Wicklow, Co. Wicklow","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202405","2024 May","166","Portlaoise (Maldron Hotel), Co. Laois","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","-","All driving test centres","Weeks","15.6"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","100","Athlone, Co. Westmeath","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","101","Ballina, Co. Mayo","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","102","Birr, Co. Offaly","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","103","Birr (County Arms Hotel), Co. Offaly","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","104","Buncrana, Co. Donegal","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","105","Carlow, Co. Carlow","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","106","Carlow Talbot Hotel, Co. Carlow","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","107","Carrick On Shannon, Co. Leitrim","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","108","Castlebar, Co. Mayo","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","109","Cavan, Co. Cavan","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","110","Charlestown (Dublin), Co. Dublin","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","111","Clifden, Co. Galway","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","112","Clonmel, Co. Tipperary","Weeks","19"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","113","Cork (Ballincollig), Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","114","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","115","Cork (Wilton), Co. Cork","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","116","Donegal, Co. Donegal","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","117","Drogheda, Co. Louth","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","118","Dun Laoghaire / Deansgrange, Co. Dublin","Weeks","28"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","119","Dundalk, Co. Louth","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","120","Dungarvan, Co. Waterford","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","121","Ennis, Co. Clare","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","122","Finglas, Co. Dublin","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","123","Galway (Carnmore), Co. Galway","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","124","Galway (Westside), Co. Galway","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","125","Gorey, Co. Wexford","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","126","Kilkenny (Govt Buildings), Co. Kilkenny","Weeks","16"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","127","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","Weeks","19"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","128","Killarney, Co. Kerry","Weeks","17"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","129","Killester, Co. Dublin","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","130","Kilrush, Co. Clare","Weeks","13"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","131","Letterkenny, Co. Donegal","Weeks","18"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","132","Limerick - Castlemungret, Co. Limerick","Weeks","11"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","133","Limerick - Woodview, Co. Limerick","Weeks","12"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","134","Limerick (Roxboro), Co. Limerick","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","135","Longford, Co. Longford","Weeks","19"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","136","Loughrea, Co. Galway","Weeks","14"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","137","Loughrea (Lough Rea Hotel & Spa), Co. Galway","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","138","Mallow, Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","139","Mallow (Cork Racecourse Mallow), Co. Cork","Weeks","15"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","140","Monaghan, Co. Monaghan","Weeks","19"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","141","Mulhuddart, Co. Dublin","Weeks","23"
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","142","Mulhuddart (Carlton Hotel), Co. Dublin","Weeks",""
"ROA36C01","Estimated Time to Car Test Invite at Month End","202406","2024 June","143","Mulhuddart Maple House, Co. Dublin","Weeks","14"
